date, pm25, pm10, o3, no2, so2, co
2023/7/20, 20, 12, 21, 6, , 1
2023/7/21, 15, 10, 16, 6, , 1
2023/7/22, 13, 14, 13, 7, , 1
2023/7/23, 15, 13, 15, 7, , 1
2023/7/24, 15, 17, 48, 8, 1, 1
2023/7/25, 30, 9, 15, 4, , 
2023/7/26, 11, 36, 42, 9, , 3
2023/7/27, 72, 23, 17, 10, , 3
2023/7/28, 46, 20, 41, 10, 1, 2
2023/7/29, 38, 14, 26, 8, , 2
2023/7/30, 22, 16, 15, 8, , 1
2023/7/31, 22, 15, 23, 7, , 1
2023/8/1, 21, 18, 16, 7, , 1
2023/8/2, 31, 23, 36, 7, , 2
2023/8/3, 45, 18, 28, 5, , 1
2023/8/4, 31, 12, 26, 4, , 1
2023/8/5, 25, 22, 32, 3, , 1
2023/8/6, 38, 25, 24, 4, , 1
2023/8/7, 42, 21, 28, 5, , 1
2023/8/8, 39, 16, 24, 5, , 1
2023/8/9, 36, 15, 36, 7, , 2
2023/8/10, 38, 13, 37, 11, , 2
2023/8/11, 29, 20, 31, 9, 1, 2
2023/8/12, 38, 19, 27, 5, , 2
2023/8/13, 44, 15, 24, 5, , 1
2023/8/14, 36, 19, 25, 5, , 1
2023/8/15, 45, 16, 15, 8, , 2
2023/8/16, 36, 17, 43, 9, , 2
2023/8/17, 39, 9, 40, 10, , 3
2023/8/18, 27, 14, 39, 10, , 3
2023/8/19, 32, 13, 32, 8, , 2
2023/8/20, 27, 13, 29, 7, 1, 2
2023/8/21, 29, 10, 20, 6, , 1
2023/8/22, 23, 11, 24, 8, , 1
2023/8/23, 26, 14, 26, 8, , 1
2023/8/24, 25, 17, 35, 7, , 2
2023/8/25, 45, 16, 39, 6, , 2
2023/8/26, 46, 14, 43, 6, , 2
2023/8/27, 40, 14, 33, 6, 1, 2
2023/8/28, 40, 17, 30, 7, , 2
2023/8/29, 46, 15, 18, 6, , 1
2023/8/30, 33, 12, 14, 4, , 1
2023/8/31, 18, 11, 20, 6, , 1
2023/9/1, 23, 10, 17, 5, , 1
2023/9/2, 17, 9, 23, 3, , 1
2023/9/3, 14, 9, 22, 10, , 2
2023/9/4, 23, 10, 32, 9, , 2
2023/9/5, 24, 11, 30, 9, , 2
2023/9/6, 23, 9, 24, 7, , 1
2023/9/7, 22, 10, 21, 10, , 2
2023/9/8, 30, 14, 41, 10, , 2
2023/9/9, 36, 16, 39, 7, , 2
2023/9/10, 39, 20, 49, 11, , 3
2023/9/11, 46, 24, 62, 8, , 3
2023/9/12, 60, 23, 43, 10, 1, 2
2023/9/13, 58, 27, 46, 10, , 3
2023/9/14, 65, 26, 57, 9, 1, 3
2023/9/15, 68, 20, 37, 9, , 2
2023/9/16, 52, 19, 31, 7, , 2
2023/9/17, 50, 20, 47, 10, , 2
2023/9/18, 51, 21, 52, 8, , 2
2023/9/19, 52, 23, 39, 9, , 2
2023/9/20, 57, 21, 40, 9, 1, 2
2023/9/21, 55, 17, 30, 9, , 2
2023/9/22, 46, 16, 44, 7, , 2
2023/9/23, 45, 18, 34, 7, , 2
2023/9/24, 46, 15, 29, 7, , 1
2023/9/25, 31, 16, 37, 7, , 2
2023/9/26, 36, 15, 24, 7, , 1
2023/9/27, 40, 12, 27, 7, 1, 1
2023/9/28, 29, 14, 22, 6, , 1
2023/9/29, 37, 14, 29, 6, , 2
2023/9/30, 32, 17, 44, 4, , 2
2023/4/1, 61, 22, 43, 10, 1, 3
2023/4/2, 62, 23, 54, 8, , 3
2023/4/3, 56, 36, 38, 9, , 3
2023/4/4, 78, 32, 37, 9, 1, 3
2023/4/5, 75, 34, 27, 13, , 4
2023/4/6, 70, 19, 44, 10, , 4
2023/4/7, 54, 44, 47, 7, 1, 3
2023/4/8, 76, 21, 41, 8, 1, 2
2023/4/9, 44, 31, 50, 13, 1, 3
2023/4/10, 63, 28, 37, 14, 1, 4
2023/4/11, 60, 28, 36, 15, , 4
2023/4/12, 63, 61, 38, 11, , 3
2023/4/13, 96, 56, 41, 9, , 3
2023/4/14, 96, 26, 36, 13, , 4
2023/4/15, 66, 31, 59, 15, 1, 5
2023/4/16, 63, 39, 59, 13, 1, 4
2023/4/17, 75, 45, 58, 16, 1, 5
2023/4/18, 89, 25, 26, 9, , 3
2023/4/19, 56, 16, 33, 9, , 3
2023/4/20, 39, 17, 31, 10, , 2
2023/4/21, 44, 42, 36, 11, , 3
2023/4/22, 74, 55, 46, 8, , 2
2023/4/23, 83, 38, 38, 10, , 2
2023/4/24, 68, 19, 37, 10, , 2
2023/4/25, 44, 15, 40, 9, , 2
2023/4/26, 41, 27, 47, 12, 1, 3
2023/4/27, 53, 35, 47, 13, , 4
2023/4/28, 71, 24, 46, 10, 1, 3
2023/4/29, 61, 35, 39, 7, , 3
2023/4/30, 64, 22, 48, 7, , 2
2023/5/1, 42, 30, 56, 10, , 3
2023/5/2, 55, 32, 41, 9, , 3
2023/5/3, 68, 30, 33, 10, , 3
2023/5/4, 66, 26, 39, 9, 1, 2
2023/5/5, 53, 20, 31, 9, , 2
2023/5/6, 43, 9, 37, 5, , 2
2023/5/7, 19, 9, 35, 10, , 2
2023/5/8, 23, 25, 41, 10, 1, 2
2023/5/9, 48, 26, 52, 8, 1, 2
2023/5/10, 55, 30, 46, 11, 1, 2
2023/5/11, 54, 29, 36, 11, 1, 3
2023/5/12, 59, 19, 34, 10, , 3
2023/5/13, 45, 25, 40, 13, 1, 4
2023/5/14, 62, 27, 62, 13, 1, 4
2023/5/15, 63, 28, 57, 11, 1, 3
2023/5/16, 67, 24, 57, 10, 2, 3
2023/5/17, 55, 19, 25, 6, , 2
2023/5/18, 33, 12, 30, 14, , 3
2023/5/19, 37, 22, 43, 12, , 4
2023/5/20, 53, 23, 24, 8, , 3
2023/5/21, 54, 14, 38, 6, , 2
2023/5/22, 24, 51, 43, 9, , 2
2023/5/23, 92, 44, 47, 9, , 2
2023/5/24, 58, 38, 53, 10, , 3
2023/5/25, 67, 34, 43, 10, , 3
2023/5/26, 64, 31, 50, 7, 1, 2
2023/5/27, 55, 24, 44, 8, , 2
2023/5/28, 44, 22, 25, 8, , 2
2023/5/29, 37, 23, 22, 5, , 1
2023/5/30, 31, 17, 15, 5, , 1
2023/5/31, 30, 19, 22, 7, , 1
2023/6/1, 27, 22, 35, 9, , 2
2023/6/2, 42, 28, 52, 9, 1, 3
2023/6/3, 60, 27, 43, 6, , 3
2023/6/4, 62, 28, 45, 6, 1, 2
2023/6/5, 58, 22, 26, 8, 1, 2
2023/6/6, 37, 17, 20, 8, 1, 2
2023/6/7, 29, 15, 16, 8, , 1
2023/6/8, 23, 14, 15, 6, , 1
2023/6/9, 24, 14, 29, 6, , 1
2023/6/10, 30, 13, 23, 8, 1, 2
2023/6/11, 20, 18, 25, 12, , 3
2023/6/12, 33, 18, 47, 12, 1, 2
